ISO3,Country,Year,Month,TRA_COV,Total
HUN,Hungary,2010,2,Total,453.522
HUN,Hungary,2010,2,Domestic,0
HUN,Hungary,2010,2,International,453.522
ISL,Iceland,2010,2,Total,90.607
ISL,Iceland,2010,2,Domestic,0
ISL,Iceland,2010,2,International,90.607
IRL,Ireland,2010,2,Total,1548.15
IRL,Ireland,2010,2,Domestic,38.198
IRL,Ireland,2010,2,International,1509.952
ITA,Italy,2010,2,Total,6415.124
ITA,Italy,2010,2,Domestic,1939.762
ITA,Italy,2010,2,International,4475.362
LVA,Latvia,2010,2,Total,271.425
LVA,Latvia,2010,2,Domestic,0.038
LVA,Latvia,2010,2,International,271.387
LTU,Lithuania,2010,2,Total,126.238
LTU,Lithuania,2010,2,Domestic,0.008
LTU,Lithuania,2010,2,International,126.23
LUX,Luxembourg,2010,2,Total,94.995
LUX,Luxembourg,2010,2,Domestic,0.055
LUX,Luxembourg,2010,2,International,94.94
MLT,Malta,2010,2,Total,148.497
MLT,Malta,2010,2,Domestic,0
MLT,Malta,2010,2,International,148.497
NLD,Netherlands,2010,2,Total,3051.339
NLD,Netherlands,2010,2,Domestic,0.268
NLD,Netherlands,2010,2,International,3051.071
NOR,Norway,2010,2,Total,2028.942
NOR,Norway,2010,2,Domestic,985.092
NOR,Norway,2010,2,International,1043.85
POL,Poland,2010,2,Total,1080.644
POL,Poland,2010,2,Domestic,61.782
POL,Poland,2010,2,International,1018.862
PRT,Portugal,2010,2,Total,1433.205
PRT,Portugal,2010,2,Domestic,172.897
PRT,Portugal,2010,2,International,1260.308
ROU,Romania,2010,2,Total,528.116
ROU,Romania,2010,2,Domestic,52.108
ROU,Romania,2010,2,International,476.008
SVK,Slovakia,2010,2,Total,98.6
SVK,Slovakia,2010,2,Domestic,3.861
SVK,Slovakia,2010,2,International,94.739
SVN,Slovenia,2010,2,Total,73.821
SVN,Slovenia,2010,2,Domestic,0
SVN,Slovenia,2010,2,International,73.821
ESP,Spain,2010,2,Total,9029.981
ESP,Spain,2010,2,Domestic,2681.978
ESP,Spain,2010,2,International,6348.003
SWE,Sweden,2010,2,Total,1805.106
SWE,Sweden,2010,2,Domestic,500.617
SWE,Sweden,2010,2,International,1304.489
CHE,Switzerland,2010,2,Total,2715.644
CHE,Switzerland,2010,2,Domestic,51.071
CHE,Switzerland,2010,2,International,2664.573
GBR,United Kingdom,2010,2,Total,12471.114
GBR,United Kingdom,2010,2,Domestic,1604.265
GBR,United Kingdom,2010,2,International,10866.849
AUT,Austria,2010,3,Total,1908.254
AUT,Austria,2010,3,Domestic,66.905
AUT,Austria,2010,3,International,1841.349
BEL,Belgium,2010,3,Total,1678.13
BEL,Belgium,2010,3,Domestic,3.998
BEL,Belgium,2010,3,International,1674.132
BGR,Bulgaria,2010,3,Total,273.116
BGR,Bulgaria,2010,3,Domestic,12.749
BGR,Bulgaria,2010,3,International,260.367
HRV,Croatia,2010,3,Total,168.552
HRV,Croatia,2010,3,Domestic,30.948
HRV,Croatia,2010,3,International,137.604
CYP,Cyprus,2010,3,Total,387.542
CYP,Cyprus,2010,3,Domestic,0
CYP,Cyprus,2010,3,International,387.542
CZE,Czechia,2010,3,Total,887.087
CZE,Czechia,2010,3,Domestic,17.856
CZE,Czechia,2010,3,International,869.231
DNK,Denmark,2010,3,Total,1979.184
DNK,Denmark,2010,3,Domestic,219.802
DNK,Denmark,2010,3,International,1759.382
EST,Estonia,2010,3,Total,109.021
EST,Estonia,2010,3,Domestic,1.591
EST,Estonia,2010,3,International,107.43
FIN,Finland,2010,3,Total,1267.8
FIN,Finland,2010,3,Domestic,271.326
FIN,Finland,2010,3,International,996.474
FRA,France,2010,3,Total,9252.808
FRA,France,2010,3,Domestic,2157.837
FRA,France,2010,3,International,7094.971
DEU,Germany,2010,3,Total,13090.984
DEU,Germany,2010,3,Domestic,2232.321
DEU,Germany,2010,3,International,10858.663
GRC,Greece,2010,3,Total,1383.457
GRC,Greece,2010,3,Domestic,505.213
GRC,Greece,2010,3,International,878.244
HUN,Hungary,2010,3,Total,584.573
HUN,Hungary,2010,3,Domestic,0
HUN,Hungary,2010,3,International,584.573
ISL,Iceland,2010,3,Total,116.277
ISL,Iceland,2010,3,Domestic,0
ISL,Iceland,2010,3,International,116.277
IRL,Ireland,2010,3,Total,1865.279
IRL,Ireland,2010,3,Domestic,44.373
IRL,Ireland,2010,3,International,1820.906
ITA,Italy,2010,3,Total,8049.844
ITA,Italy,2010,3,Domestic,2258.398
ITA,Italy,2010,3,International,5791.446
LVA,Latvia,2010,3,Total,343.938
LVA,Latvia,2010,3,Domestic,0.019
LVA,Latvia,2010,3,International,343.919
LTU,Lithuania,2010,3,Total,167.915
LTU,Lithuania,2010,3,Domestic,0.007
LTU,Lithuania,2010,3,International,167.908
LUX,Luxembourg,2010,3,Total,119.457
LUX,Luxembourg,2010,3,Domestic,0.036
LUX,Luxembourg,2010,3,International,119.421
MLT,Malta,2010,3,Total,206.541
MLT,Malta,2010,3,Domestic,0
MLT,Malta,2010,3,International,206.541
NLD,Netherlands,2010,3,Total,3700.319
NLD,Netherlands,2010,3,Domestic,0.112
NLD,Netherlands,2010,3,International,3700.207
NOR,Norway,2010,3,Total,2398.396
NOR,Norway,2010,3,Domestic,1125.21
NOR,Norway,2010,3,International,1273.186
POL,Poland,2010,3,Total,1303.859
POL,Poland,2010,3,Domestic,72.882
POL,Poland,2010,3,International,1230.977
PRT,Portugal,2010,3,Total,1772.63
PRT,Portugal,2010,3,Domestic,210.073
PRT,Portugal,2010,3,International,1562.557
ROU,Romania,2010,3,Total,657.611
ROU,Romania,2010,3,Domestic,65.905
ROU,Romania,2010,3,International,591.706
SVK,Slovakia,2010,3,Total,118.586
SVK,Slovakia,2010,3,Domestic,4.136
SVK,Slovakia,2010,3,International,114.45
SVN,Slovenia,2010,3,Total,87.937
SVN,Slovenia,2010,3,Domestic,0
SVN,Slovenia,2010,3,International,87.937
ESP,Spain,2010,3,Total,11320.004
ESP,Spain,2010,3,Domestic,3211.03
ESP,Spain,2010,3,International,8108.974
SWE,Sweden,2010,3,Total,2213.762
SWE,Sweden,2010,3,Domestic,620.589
SWE,Sweden,2010,3,International,1593.173
CHE,Switzerland,2010,3,Total,3201.375
CHE,Switzerland,2010,3,Domestic,63.228
CHE,Switzerland,2010,3,International,3138.147
GBR,United Kingdom,2010,3,Total,14614.54
GBR,United Kingdom,2010,3,Domestic,1827.721
GBR,United Kingdom,2010,3,International,12786.819
AUT,Austria,2010,4,Total,1624.357
AUT,Austria,2010,4,Domestic,55.7
AUT,Austria,2010,4,International,1568.657
BEL,Belgium,2010,4,Total,1544.861
BEL,Belgium,2010,4,Domestic,2.777
BEL,Belgium,2010,4,International,1542.084
BGR,Bulgaria,2010,4,Total,245.311
BGR,Bulgaria,2010,4,Domestic,12.129
BGR,Bulgaria,2010,4,International,233.182
HRV,Croatia,2010,4,Total,236.397
HRV,Croatia,2010,4,Domestic,30.814
HRV,Croatia,2010,4,International,205.583
CYP,Cyprus,2010,4,Total,462.592
CYP,Cyprus,2010,4,Domestic,0.006
CYP,Cyprus,2010,4,International,462.586
CZE,Czechia,2010,4,Total,816.449
CZE,Czechia,2010,4,Domestic,13.784
CZE,Czechia,2010,4,International,802.665
DNK,Denmark,2010,4,Total,1466.776
DNK,Denmark,2010,4,Domestic,144.728
DNK,Denmark,2010,4,International,1322.048
EST,Estonia,2010,4,Total,87.198
EST,Estonia,2010,4,Domestic,1.156
EST,Estonia,2010,4,International,86.042
FIN,Finland,2010,4,Total,860.07
FIN,Finland,2010,4,Domestic,147.681
FIN,Finland,2010,4,International,712.389
FRA,France,2010,4,Total,8650.577
FRA,France,2010,4,Domestic,1886.777
FRA,France,2010,4,International,6763.8
DEU,Germany,2010,4,Total,10879.022
DEU,Germany,2010,4,Domestic,1577.63
DEU,Germany,2010,4,International,9301.392
GRC,Greece,2010,4,Total,1669.686
GRC,Greece,2010,4,Domestic,539.686
GRC,Greece,2010,4,International,1130
HUN,Hungary,2010,4,Total,541.43
HUN,Hungary,2010,4,Domestic,0
HUN,Hungary,2010,4,International,541.43
ISL,Iceland,2010,4,Total,99.345
ISL,Iceland,2010,4,Domestic,0
ISL,Iceland,2010,4,International,99.345
IRL,Ireland,2010,4,Total,1464.44
IRL,Ireland,2010,4,Domestic,25.856
IRL,Ireland,2010,4,International,1438.584
ITA,Italy,2010,4,Total,7983.409
ITA,Italy,2010,4,Domestic,2252.394
ITA,Italy,2010,4,International,5731.015
LVA,Latvia,2010,4,Total,296.259
LVA,Latvia,2010,4,Domestic,0.041
LVA,Latvia,2010,4,International,296.218
LTU,Lithuania,2010,4,Total,141.447
LTU,Lithuania,2010,4,Domestic,0.005
LTU,Lithuania,2010,4,International,141.442
LUX,Luxembourg,2010,4,Total,110.824
LUX,Luxembourg,2010,4,Domestic,0
LUX,Luxembourg,2010,4,International,110.824
MLT,Malta,2010,4,Total,239.553
MLT,Malta,2010,4,Domestic,0
MLT,Malta,2010,4,International,239.553
NLD,Netherlands,2010,4,Total,3215.276
NLD,Netherlands,2010,4,Domestic,0.346
NLD,Netherlands,2010,4,International,3214.93
NOR,Norway,2010,4,Total,1734.707
NOR,Norway,2010,4,Domestic,783.068
NOR,Norway,2010,4,International,951.639
POL,Poland,2010,4,Total,1139.301
POL,Poland,2010,4,Domestic,52.542
POL,Poland,2010,4,International,1086.759
