"REF_DATE","GEO","DGUID","Operational and financial statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3808","","","","0"
"2014-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4370","","","","0"
"2014-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4628","","","","0"
"2014-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3740","","","","0"
"2014-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3715","","","","0"
"2014-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3347","","","","0"
"2014-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","3854","","","","0"
"2015-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5507","","","","0"
"2015-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5333","","","","0"
"2015-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6073","","","","0"
"2015-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5601","","","","0"
"2015-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5421","","","","0"
"2015-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5608","","","","0"
"2015-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6441","","","","0"
"2015-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6712","","","","0"
"2015-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5532","","","","0"
"2015-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5316","","","","0"
"2015-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4862","","","","0"
"2015-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5716","","","","0"
"2016-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5763","","","","0"
"2016-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5706","","","","0"
"2016-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6330","","","","0"
"2016-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5758","","","","0"
"2016-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5785","","","","0"
"2016-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6095","","","","0"
"2016-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7155","","","","0"
"2016-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7425","","","","0"
"2016-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6179","","","","0"
"2016-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5841","","","","0"
"2016-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5301","","","","0"
"2016-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6174","","","","0"
"2017-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6243","","","","0"
"2017-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5987","","","","0"
